index,x,y,z,vx,vy,vz
1155,16.6035,14.5869,42,-1.60727,-2.13805,1.15e-05
1156,16.5613,14.5536,42,-1.59294,-2.11904,1.16e-05
1157,16.5191,14.5204,42,-1.57846,-2.09982,1.16e-05
1158,16.478,14.4871,42,-1.56383,-2.0804,1.17e-05
1159,16.4358,14.4539,42,-1.54905,-2.06078,1.18e-05
1160,16.3947,14.4289,42,-1.53413,-2.04097,1.18e-05
1161,16.3547,14.3956,42,-1.51906,-2.02096,1.19e-05
1162,16.3147,14.3624,42,-1.50386,-2.00078,1.19e-05
1163,16.2747,14.3374,42,-1.48853,-1.98042,1.2e-05
1164,16.2358,14.3042,42,-1.47307,-1.95989,1.2e-05
1165,16.197,14.2792,42,-1.45749,-1.93919,1.2e-05
1166,16.1581,14.246,42,-1.44179,-1.91834,1.21e-05
1167,16.1203,14.221,42,-1.42598,-1.89733,1.21e-05
1168,16.0826,14.1877,42,-1.41006,-1.87618,1.21e-05
1169,16.0448,14.1628,42,-1.39403,-1.85488,1.21e-05
1170,16.0082,14.1378,42,-1.3779,-1.83345,1.21e-05
1171,15.9715,14.1129,42,-1.36168,-1.81189,1.21e-05
1172,15.936,14.0796,42,-1.34536,-1.79021,1.21e-05
1173,15.9004,14.0547,42,-1.32896,-1.76842,1.21e-05
1174,15.8649,14.0297,42,-1.31248,-1.74651,1.21e-05
1175,15.8304,14.0048,42,-1.29592,-1.7245,1.2e-05
1176,15.7971,13.9798,42,-1.27929,-1.7024,1.2e-05
1177,15.7627,13.9549,42,-1.26259,-1.6802,1.2e-05
1178,15.7294,13.9299,42,-1.24583,-1.65792,1.2e-05
1179,15.6972,13.905,42,-1.22901,-1.63556,1.19e-05
1180,15.6638,13.88,42,-1.21214,-1.61314,1.19e-05
1181,15.6327,13.8551,42,-1.19523,-1.59064,1.18e-05
1182,15.6005,13.8301,42,-1.17827,-1.56809,1.18e-05
1183,15.5694,13.8052,42,-1.16127,-1.54549,1.17e-05
1184,15.5394,13.7803,42,-1.14424,-1.52285,1.16e-05
1185,15.5083,13.7636,42,-1.12718,-1.50016,1.16e-05
1186,15.4795,13.7387,42,-1.1101,-1.47745,1.15e-05
