index,x,y,z,yaw,vn,ve,vd,an,ae,ad
48,-0.946228,3.26456,-4.96008,104.179,-0.265482,0.912151,-0.2375,-0.139727,0.480079,-0.125
49,-0.965747,3.3323,-4.96437,104.179,-0.272468,0.936155,-0.24375,-0.139727,0.480079,-0.125
50,-0.985378,3.40013,-4.96866,104.179,-0.279455,0.960159,-0.25,-0.139727,0.480079,-0.125
51,-1.00501,3.46786,-4.97295,104.179,-0.286441,0.984163,-0.25625,-0.139727,0.480079,-0.125
52,-1.02464,3.53569,-4.97724,104.179,-0.293427,1.00817,-0.2625,-0.139727,0.480079,-0.125
53,-1.04427,3.60342,-4.98153,104.179,-0.300414,1.03217,-0.26875,-0.139727,0.480079,-0.125
54,-1.0639,3.67125,-4.98582,104.179,-0.3074,1.05617,-0.275,-0.139727,0.480079,-0.125
55,-1.08353,3.73899,-4.99011,104.179,-0.314386,1.08018,-0.28125,-0.139727,0.480079,-0.125
56,-1.10316,3.80682,-4.9944,104.179,-0.321373,1.10418,-0.2875,-0.139727,0.480079,-0.125
57,-1.12279,3.87455,-4.99869,104.179,-0.328359,1.12819,-0.29375,-0.139727,0.480079,-0.125
58,-1.14242,3.94238,-5.00298,104.179,-0.335345,1.15219,-0.3,-0.139727,0.480079,-0.125
59,-1.16205,4.01012,-5.00727,104.179,-0.342332,1.17619,-0.30625,-0.139727,0.480079,-0.125
60,-1.18168,4.07785,-5.01156,104.179,-0.349318,1.2002,-0.3125,-0.139727,0.480079,-0.125
61,-1.20131,4.14568,-5.01585,104.179,-0.356305,1.2242,-0.31875,-0.139727,0.480079,-0.125
62,-1.22094,4.21341,-5.02014,104.179,-0.363291,1.24821,-0.325,-0.139727,0.480079,-0.125
63,-1.24057,4.28124,-5.02443,104.179,-0.370277,1.27221,-0.33125,-0.139727,0.480079,-0.125
64,-1.2602,4.34898,-5.02872,104.179,-0.377264,1.29621,-0.3375,-0.139727,0.480079,-0.125
65,-1.27983,4.41681,-5.03301,104.179,-0.38425,1.32022,-0.34375,-0.139727,0.480079,-0.125
66,-1.29946,4.48454,-5.0373,104.179,-0.391236,1.34422,-0.35,-0.139727,0.480079,-0.125
67,-1.3191,4.55237,-5.04159,104.179,-0.398223,1.36823,-0.35625,-0.139727,0.480079,-0.125
68,-1.33873,4.62011,-5.04588,104.179,-0.405209,1.39223,-0.3625,-0.139727,0.480079,-0.125
69,-1.35836,4.68794,-5.05017,104.179,-0.412195,1.41623,-0.36875,-0.139727,0.480079,-0.125
70,-1.37799,4.75567,-5.05446,104.179,-0.419182,1.44024,-0.375,-0.139727,0.480079,-0.125
71,-1.39762,4.8234,-5.05875,104.179,-0.426168,1.46424,-0.38125,-0.139727,0.480079,-0.125
72,-1.41725,4.89123,-5.06304,104.179,-0.433155,1.48825,-0.3875,-0.139727,0.480079,-0.125
73,-1.43688,4.95897,-5.06733,104.179,-0.440141,1.51225,-0.39375,-0.139727,0.480079,-0.125
74,-1.45651,5.0268,-5.07162,104.179,-0.447127,1.53625,-0.4,-0.139727,0.480079,-0.125
75,-1.47614,5.09453,-5.07591,104.179,-0.454114,1.56026,-0.40625,-0.139727,0.480079,-0.125
76,-1.49577,5.16236,-5.0802,104.179,-0.4611,1.58426,-0.4125,-0.139727,0.480079,-0.125
77,-1.5154,5.23009,-5.08449,104.179,-0.468086,1.60827,-0.41875,-0.139727,0.480079,-0.125
78,-1.53503,5.29792,-5.08878,104.179,-0.475073,1.63227,-0.425,-0.139727,0.480079,-0.125
79,-1.55466,5.36566,-5.09307,104.179,-0.482059,1.65627,-0.43125,-0.139727,0.480079,-0.125
80,-1.57429,5.43349,-5.09736,104.179,-0.489045,1.68028,-0.4375,-0.139727,0.480079,-0.125
81,-1.59392,5.50122,-5.10165,104.179,-0.496032,1.70428,-0.44375,-0.139727,0.480079,-0.125
82,-1.61344,5.56905,-5.10594,104.179,-0.503018,1.72829,-0.45,-0.139727,0.480079,-0.125
83,-1.63307,5.63679,-5.11023,104.179,-0.510005,1.75229,-0.45625,-0.139727,0.480079,-0.125
84,-1.6527,5.70452,-5.11452,104.179,-0.516991,1.77629,-0.4625,-0.139727,0.480079,-0.125
85,-1.67233,5.77235,-5.11881,104.179,-0.523977,1.8003,-0.46875,-0.139727,0.480079,-0.125
86,-1.69196,5.84008,-5.1231,104.179,-0.530964,1.8243,-0.475,-0.139727,0.480079,-0.125
87,-1.71159,5.90791,-5.12739,104.179,-0.53795,1.84831,-0.48125,-0.139727,0.480079,-0.125
88,-1.73122,5.97565,-5.13168,104.179,-0.544936,1.87231,-0.4875,-0.139727,0.480079,-0.125
89,-1.75085,6.04348,-5.13597,104.179,-0.551923,1.89631,-0.49375,-0.139727,0.480079,-0.125
90,-1.77048,6.11121,-5.14026,104.179,-0.558909,1.92032,-0.5,-0.139727,0.480079,-0.125
91,-1.79012,6.17904,-5.14455,104.179,-0.558909,1.92032,-0.5,-0.132741,0.456075,-0.11875
92,-1.80975,6.24678,-5.14884,104.179,-0.558909,1.92032,-0.5,-0.125755,0.432072,-0.1125
93,-1.82938,6.31461,-5.15313,104.179,-0.558909,1.92032,-0.5,-0.118768,0.408068,-0.10625
94,-1.84901,6.38234,-5.15742,104.179,-0.558909,1.92032,-0.5,-0.111782,0.384064,-0.1
95,-1.86864,6.45007,-5.16171,104.179,-0.558909,1.92032,-0.5,-0.104795,0.36006,-0.09375
96,-1.88827,6.5179,-5.166,104.179,-0.558909,1.92032,-0.5,-0.0978091,0.336056,-0.0875
97,-1.9079,6.58564,-5.17029,104.179,-0.558909,1.92032,-0.5,-0.0908227,0.312052,-0.08125
98,-1.92753,6.65347,-5.17458,104.179,-0.558909,1.92032,-0.5,-0.0838364,0.288048,-0.075
99,-1.94716,6.7212,-5.17887,104.179,-0.558909,1.92032,-0.5,-0.07685,0.264044,-0.06875
100,-1.96679,6.78903,-5.18316,104.179,-0.558909,1.92032,-0.5,-0.0698636,0.24004,-0.0625
101,-1.98642,6.85676,-5.18745,104.179,-0.558909,1.92032,-0.5,-0.0628773,0.216036,-0.05625
102,-2.00605,6.92459,-5.19174,104.179,-0.558909,1.92032,-0.5,-0.0558909,0.192032,-0.05
103,-2.02568,6.99233,-5.19603,104.179,-0.558909,1.92032,-0.5,-0.0489045,0.168028,-0.04375
104,-2.04531,7.06016,-5.20032,104.179,-0.558909,1.92032,-0.5,-0.0419182,0.144024,-0.0375
105,-2.06494,7.12789,-5.20461,104.179,-0.558909,1.92032,-0.5,-0.0349318,0.12002,-0.03125
106,-2.08457,7.19572,-5.2089,104.179,-0.558909,1.92032,-0.5,-0.0279455,0.0960159,-0.025
107,-2.1042,7.26346,-5.21319,104.179,-0.558909,1.92032,-0.5,-0.0209591,0.0720119,-0.01875
108,-2.12383,7.33119,-5.21748,104.179,-0.558909,1.92032,-0.5,-0.0139727,0.0480079,-0.0125
109,-2.14346,7.39902,-5.22177,104.179,-0.558909,1.92032,-0.5,-0.00698636,0.024004,-0.00625
110,-2.16309,7.46675,-5.22606,104.179,-0.558909,1.92032,-0.5,0,0,0
111,-2.18272,7.53458,-5.23035,104.179,-0.558909,1.92032,-0.5,0,0,0
112,-2.20235,7.60232,-5.23464,104.179,-0.558909,1.92032,-0.5,0,0,0
113,-2.22198,7.67015,-5.23893,104.179,-0.558909,1.92032,-0.5,0,0,0
114,-2.24162,7.73788,-5.24322,104.179,-0.558909,1.92032,-0.5,0,0,0
115,-2.26113,7.80571,-5.24751,104.179,-0.558909,1.92032,-0.5,0,0,0
116,-2.28077,7.87345,-5.2518,104.179,-0.558909,1.92032,-0.5,0,0,0
117,-2.3004,7.94128,-5.25609,104.179,-0.558909,1.92032,-0.5,0,0,0
118,-2.32003,8.00901,-5.26038,104.179,-0.558909,1.92032,-0.5,0,0,0
119,-2.33966,8.07674,-5.26467,104.179,-0.558909,1.92032,-0.5,0,0,0
120,-2.35929,8.14457,-5.26896,104.179,-0.558909,1.92032,-0.5,0,0,0
121,-2.37892,8.21231,-5.27325,104.179,-0.558909,1.92032,-0.5,0,0,0
122,-2.39855,8.28014,-5.27754,104.179,-0.558909,1.92032,-0.5,0,0,0
123,-2.41818,8.34787,-5.28183,104.179,-0.558909,1.92032,-0.5,0,0,0
124,-2.43781,8.4157,-5.28612,104.179,-0.558909,1.92032,-0.5,0,0,0
125,-2.45744,8.48343,-5.29041,104.179,-0.558909,1.92032,-0.5,0,0,0
126,-2.47707,8.55126,-5.2947,104.179,-0.558909,1.92032,-0.5,0,0,0
127,-2.4967,8.619,-5.29899,104.179,-0.558909,1.92032,-0.5,0,0,0
128,-2.51633,8.68683,-5.30328,104.179,-0.558909,1.92032,-0.5,0,0,0
129,-2.53596,8.75456,-5.30757,104.179,-0.558909,1.92032,-0.5,0,0,0
