index,x,y,z,vx,vy,vz
103,33.9537,27.5683,42.0001,-0.128293,-3,-0.000905429
104,33.8937,27.5599,42.0001,-0.195963,-3,-0.000930486
105,33.8338,27.5599,42.0001,-0.26308,-3,-0.00095273
106,33.7738,27.5516,42.0002,-0.329949,-3,-0.000977697
107,33.7138,27.5433,42.0002,-0.39673,-3,-0.0009892
108,33.6538,27.535,42.0002,-0.46392,-3,-0.00101239
109,33.5938,27.5184,42.0002,-0.531532,-3,-0.00103166
110,33.5339,27.51,42.0002,-0.599423,-3,-0.0010469
111,33.4739,27.4934,42.0003,-0.667862,-3,-0.00106114
112,33.4139,27.4851,42.0003,-0.737031,-3,-0.00106644
113,33.3539,27.4685,42.0003,-0.807373,-3,-0.00105692
114,33.294,27.4518,42.0003,-0.879988,-3,-0.00104686
115,33.234,27.4269,42.0003,-0.955237,-3,-0.00103907
116,33.174,27.4102,42.0004,-1.033,-3,-0.0010182
117,33.114,27.3853,42.0004,-1.11367,-3,-0.000995365
118,33.054,27.3604,42.0004,-1.19748,-3,-0.000964485
119,32.9941,27.3354,42.0004,-1.28461,-3,-0.00093737
120,32.9341,27.3105,42.0004,-1.37454,-3,-0.00089812
121,32.8741,27.2772,42.0005,-1.46733,-3,-0.000846638
122,32.8141,27.2522,42.0005,-1.56361,-3,-0.000775307
123,32.7542,27.219,42.0005,-1.66395,-3,-0.000701316
124,32.6942,27.1774,42.0005,-1.76894,-3,-0.000610779
125,32.6342,27.1441,42.0005,-1.87801,-3,-0.000549676
126,32.5742,27.1026,42.0005,-1.98892,-3,-0.00046567
127,32.5142,27.061,42.0005,-2.1007,-3,-0.000350648
128,32.4543,27.0194,42.0005,-2.21465,-3,-0.000228224
129,32.3943,26.9695,42.0005,-2.33085,-3,-0.000108857
130,32.3343,26.9196,42.0005,-2.44736,-3,-2.22e-06
131,32.2743,26.8697,42.0005,-2.56072,-3,0.000134278
132,32.2144,26.8198,42.0005,-2.671,-3,0.000282945
133,32.1544,26.7616,42.0005,-2.77832,-3,0.000431856
134,32.0944,26.7034,42.0005,-2.88136,-3,0.00057799
135,32.0344,26.6452,42.0005,-2.97511,-2.9968,0.000708016
